"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Los Angeles","Los Angeles","Los Angeles County","06037","CA","California","34.3219","-118.2247","9808667"
"Cook","Cook","Cook County","17031","IL","Illinois","41.8401","-87.8168","5182090"
"Harris","Harris","Harris County","48201","TX","Texas","29.8578","-95.3938","4838303"
"Maricopa","Maricopa","Maricopa County","04013","AZ","Arizona","33.3490","-112.4915","4559748"
"San Diego","San Diego","San Diego County","06073","CA","California","33.0343","-116.7350","3288774"
"Orange","Orange","Orange County","06059","CA","California","33.7031","-117.7609","3165820"
"Miami-Dade","Miami-Dade","Miami-Dade County","12086","FL","Florida","25.6150","-80.5624","2738356"
"Kings","Kings","Kings County","36047","NY","New York","40.6413","-73.9383","2631580"
"Dallas","Dallas","Dallas County","48113","TX","Texas","32.7666","-96.7778","2621179"
"Riverside","Riverside","Riverside County","06065","CA","California","33.7437","-115.9938","2478600"
"Clark","Clark","Clark County","32003","NV","Nevada","36.2152","-115.0135","2329548"
"Queens","Queens","Queens County","36081","NY","New York","40.7035","-73.8196","2323052"
"King","King","King County","53033","WA","Washington","47.4903","-121.8052","2287171"
"San Bernardino","San Bernardino","San Bernardino County","06071","CA","California","34.8414","-116.1785","2197104"
"Tarrant","Tarrant","Tarrant County","48439","TX","Texas","32.7719","-97.2911","2167390"
"Bexar","Bexar","Bexar County","48029","TX","Texas","29.4489","-98.5200","2067341"
"Broward","Broward","Broward County","12011","FL","Florida","26.1523","-80.4871","1977129"
"Santa Clara","Santa Clara","Santa Clara County","06085","CA","California","37.2318","-121.6951","1902047"
"Wayne","Wayne","Wayne County","26163","MI","Michigan","42.2822","-83.2830","1772259"
"Alameda","Alameda","Alameda County","06001","CA","California","37.6469","-121.8887","1649473"
"Middlesex","Middlesex","Middlesex County","25017","MA","Massachusetts","42.4856","-71.3918","1638365"
"New York","New York","New York County","36061","NY","New York","40.7792","-73.9668","1629477"
"Sacramento","Sacramento","Sacramento County","06067","CA","California","38.4493","-121.3443","1594006"
"Philadelphia","Philadelphia","Philadelphia County","42101","PA","Pennsylvania","40.0076","-75.1340","1579706"
"Palm Beach","Palm Beach","Palm Beach County","12099","FL","Florida","26.6476","-80.4655","1533806"
"Suffolk","Suffolk","Suffolk County","36103","NY","New York","40.8681","-72.8456","1530146"
"Hillsborough","Hillsborough","Hillsborough County","12057","FL","Florida","27.9292","-82.3088","1522748"
"Orange","Orange","Orange County","12095","FL","Florida","28.5144","-81.3235","1471937"
"Bronx","Bronx","Bronx County","36005","NY","New York","40.8501","-73.8671","1404779"
"Nassau","Nassau","Nassau County","36059","NY","New York","40.7326","-73.5862","1389591"
"Franklin","Franklin","Franklin County","39049","OH","Ohio","39.9695","-83.0093","1333048"
"Travis","Travis","Travis County","48453","TX","Texas","30.3344","-97.7820","1330015"
"Oakland","Oakland","Oakland County","26125","MI","Michigan","42.6604","-83.3858","1279825"
"Hennepin","Hennepin","Hennepin County","27053","MN","Minnesota","45.0046","-93.4770","1269496"
"Cuyahoga","Cuyahoga","Cuyahoga County","39035","OH","Ohio","41.4243","-81.6586","1245873"
"Allegheny","Allegheny","Allegheny County","42003","PA","Pennsylvania","40.4688","-79.9812","1238177"
"Salt Lake","Salt Lake","Salt Lake County","49035","UT","Utah","40.6673","-111.9236","1196523"
"Wake","Wake","Wake County","37183","NC","North Carolina","35.7903","-78.6503","1178653"
"Contra Costa","Contra Costa","Contra Costa County","06013","CA","California","37.9192","-121.9275","1165012"
"Collin","Collin","Collin County","48085","TX","Texas","33.1880","-96.5724","1163337"
"Mecklenburg","Mecklenburg","Mecklenburg County","37119","NC","North Carolina","35.2467","-80.8328","1154681"
"Fairfax","Fairfax","Fairfax County","51059","VA","Virginia","38.8368","-77.2770","1147837"
"Fulton","Fulton","Fulton County","13121","GA","Georgia","33.7903","-84.4671","1076561"
"Montgomery","Montgomery","Montgomery County","24031","MD","Maryland","39.1363","-77.2042","1065949"
"Pima","Pima","Pima County","04019","AZ","Arizona","32.0974","-111.7899","1060490"
"Duval","Duval","Duval County","12031","FL","Florida","30.3313","-81.6715","1023153"
"Fresno","Fresno","Fresno County","06019","CA","California","36.7582","-119.6493","1016725"
"Honolulu","Honolulu","Honolulu County","15003","HI","Hawaii","21.4899","-158.0739","1001146"
"Westchester","Westchester","Westchester County","36119","NY","New York","41.1626","-73.7561","999677"
"St. Louis","St. Louis","St. Louis County","29189","MO","Missouri","38.6407","-90.4434","995569"
"Gwinnett","Gwinnett","Gwinnett County","13135","GA","Georgia","33.9619","-84.0235","979864"
"Denton","Denton","Denton County","48121","TX","Texas","33.2055","-97.1168","979561"
"Capitol","Capitol","Capitol Planning Region","09110","CT","Connecticut","41.8185","-72.5720","977290"
"Marion","Marion","Marion County","18097","IN","Indiana","39.7817","-86.1385","975809"
"Pinellas","Pinellas","Pinellas County","12103","FL","Florida","27.9198","-82.7255","963481"
"Bergen","Bergen","Bergen County","34003","NJ","New Jersey","40.9597","-74.0742","962316"
"Prince George's","Prince George's","Prince George's County","24033","MD","Maryland","38.8295","-76.8473","959754"
"Erie","Erie","Erie County","36029","NY","New York","42.7639","-78.7323","950622"
"Pierce","Pierce","Pierce County","53053","WA","Washington","47.0239","-122.1041","930319"
"DuPage","DuPage","DuPage County","17043","IL","Illinois","41.8520","-88.0856","930024"
"Milwaukee","Milwaukee","Milwaukee County","55079","WI","Wisconsin","43.0072","-87.9669","926331"
"Shelby","Shelby","Shelby County","47157","TN","Tennessee","35.1843","-89.8938","919173"
"Kern","Kern","Kern County","06029","CA","California","35.3426","-118.7301","915075"
"Fort Bend","Fort Bend","Fort Bend County","48157","TX","Texas","29.5275","-95.7709","893767"
"Hidalgo","Hidalgo","Hidalgo County","48215","TX","Texas","26.3969","-98.1812","891977"
"Macomb","Macomb","Macomb County","26099","MI","Michigan","42.6957","-82.9323","879853"
"Middlesex","Middlesex","Middlesex County","34023","NJ","New Jersey","40.4392","-74.4117","871290"
"El Paso","El Paso","El Paso County","48141","TX","Texas","31.7686","-106.2348","870779"
"Worcester","Worcester","Worcester County","25027","MA","Massachusetts","42.3514","-71.9077","867788"
"Montgomery","Montgomery","Montgomery County","42091","PA","Pennsylvania","40.2108","-75.3673","867573"
"Essex","Essex","Essex County","34013","NJ","New Jersey","40.7880","-74.2481","863002"
"Baltimore","Baltimore","Baltimore County","24005","MD","Maryland","39.4629","-76.6395","850796"
"Snohomish","Snohomish","Snohomish County","53061","WA","Washington","48.0474","-121.6972","844430"
"Ventura","Ventura","Ventura County","06111","CA","California","34.4561","-119.0836","837469"
"Hamilton","Hamilton","Hamilton County","39061","OH","Ohio","39.1955","-84.5428","830774"
"San Francisco","San Francisco","San Francisco County","06075","CA","California","37.7556","-122.4450","830235"
"Lee","Lee","Lee County","12071","FL","Florida","26.5780","-81.8332","817666"
"Essex","Essex","Essex County","25009","MA","Massachusetts","42.6732","-70.9524","813054"
"Oklahoma","Oklahoma","Oklahoma County","40109","OK","Oklahoma","35.5515","-97.4072","806199"
"Multnomah","Multnomah","Multnomah County","41051","OR","Oregon","45.5468","-122.4149","801477"
"San Joaquin","San Joaquin","San Joaquin County","06077","CA","California","37.9348","-121.2714","797334"
"Polk","Polk","Polk County","12105","FL","Florida","27.9489","-81.6976","790694"
"Suffolk","Suffolk","Suffolk County","25025","MA","Massachusetts","42.3329","-71.0735","785121"
"Jefferson","Jefferson","Jefferson County","21111","KY","Kentucky","38.1872","-85.6591","783022"
"Cobb","Cobb","Cobb County","13067","GA","Georgia","33.9416","-84.5767","775208"
"DeKalb","DeKalb","DeKalb County","13089","GA","Georgia","33.7716","-84.2264","765351"
"Monroe","Monroe","Monroe County","36055","NY","New York","43.1464","-77.6961","753753"
"El Paso","El Paso","El Paso County","08041","CO","Colorado","38.8321","-104.5254","742999"
"San Mateo","San Mateo","San Mateo County","06081","CA","California","37.4228","-122.3291","742340"
"Norfolk","Norfolk","Norfolk County","25021","MA","Massachusetts","42.1603","-71.2118","730082"
"Jackson","Jackson","Jackson County","29095","MO","Missouri","39.0085","-94.3461","719976"
"Denver","Denver","Denver County","08031","CO","Colorado","39.7620","-104.8758","718877"
"Hudson","Hudson","Hudson County","34017","NJ","New Jersey","40.7408","-74.0751","718323"
"Davidson","Davidson","Davidson County","47037","TN","Tennessee","36.1695","-86.7848","715388"
"Lake","Lake","Lake County","17097","IL","Illinois","42.3233","-88.0037","714223"
"Utah","Utah","Utah County","49049","UT","Utah","40.1199","-111.6702","705400"
"Will","Will","Will County","17197","IL","Illinois","41.4450","-87.9786","701462"
"Montgomery","Montgomery","Montgomery County","48339","TX","Texas","30.3002","-95.5030","684432"
"District of Columbia","District of Columbia","District of Columbia","11001","DC","District of Columbia","38.9047","-77.0163","681294"
"Tulsa","Tulsa","Tulsa County","40143","OK","Oklahoma","36.1211","-95.9415","680794"
"Bernalillo","Bernalillo","Bernalillo County","35001","NM","New Mexico","35.0514","-106.6702","673930"
"Williamson","Williamson","Williamson County","48491","TX","Texas","30.6475","-97.6004","672688"
"Jefferson","Jefferson","Jefferson County","01073","AL","Alabama","33.5543","-86.8964","667755"
"Providence","Providence","Providence County","44007","RI","Rhode Island","41.8721","-71.5800","664854"
"Kent","Kent","Kent County","26081","MI","Michigan","43.0322","-85.5493","663150"
"Arapahoe","Arapahoe","Arapahoe County","08005","CO","Colorado","39.6498","-104.3393","659844"
"Ocean","Ocean","Ocean County","34029","NJ","New Jersey","39.8856","-74.2814","654362"
"Bucks","Bucks","Bucks County","42017","PA","Pennsylvania","40.3369","-75.1069","647461"
"Monmouth","Monmouth","Monmouth County","34025","NJ","New Jersey","40.2600","-74.2216","645353"
"Brevard","Brevard","Brevard County","12009","FL","Florida","28.2937","-80.7323","632780"
"Western Connecticut","Western Connecticut","Western Connecticut Planning Region","09190","CT","Connecticut","41.3225","-73.4475","627071"
"Johnson","Johnson","Johnson County","20091","KS","Kansas","38.8838","-94.8223","620631"
"Pasco","Pasco","Pasco County","12101","FL","Florida","28.3092","-82.3920","611444"
"Washington","Washington","Washington County","41067","OR","Oregon","45.5600","-123.0984","603947"
"Anne Arundel","Anne Arundel","Anne Arundel County","24003","MD","Maryland","39.0065","-76.6051","598166"
"Douglas","Douglas","Douglas County","31055","NE","Nebraska","41.2953","-96.1543","590736"
"Bristol","Bristol","Bristol County","25005","MA","Massachusetts","41.7972","-71.1145","582270"
"Volusia","Volusia","Volusia County","12127","FL","Florida","29.0584","-81.1819","579622"
"Jefferson","Jefferson","Jefferson County","08059","CO","Colorado","39.5864","-105.2505","579377"
"Union","Union","Union County","34039","NJ","New Jersey","40.6601","-74.3100","579290"
"Delaware","Delaware","Delaware County","42045","PA","Pennsylvania","39.9167","-75.3991","579222"
"New Castle","New Castle","New Castle County","10003","DE","Delaware","39.5768","-75.6527","577961"
"Baltimore","Baltimore","Baltimore City","24510","MD","Maryland","39.3051","-76.6144","573243"
"Dane","Dane","Dane County","55025","WI","Wisconsin","43.0673","-89.4181","572674"
"South Central Connecticut","South Central Connecticut","South Central Connecticut Planning Region","09170","CT","Connecticut","41.3613","-72.8445","570598"
"Lancaster","Lancaster","Lancaster County","42071","PA","Pennsylvania","40.0424","-76.2477","557931"
"Stanislaus","Stanislaus","Stanislaus County","06099","CA","California","37.5591","-120.9977","553990"
"Spokane","Spokane","Spokane County","53063","WA","Washington","47.6208","-117.4040","549056"
"Greenville","Greenville","Greenville County","45045","SC","South Carolina","34.8941","-82.3706","548166"
"Guilford","Guilford","Guilford County","37081","NC","North Carolina","36.0795","-79.7889","547940"
"Chester","Chester","Chester County","42029","PA","Pennsylvania","39.9731","-75.7484","547840"
"Ramsey","Ramsey","Ramsey County","27123","MN","Minnesota","45.0171","-93.0996","542945"
"Summit","Summit","Summit County","39153","OH","Ohio","41.1260","-81.5322","537864"
"Montgomery","Montgomery","Montgomery County","39113","OH","Ohio","39.7547","-84.2907","536096"
"Plymouth","Plymouth","Plymouth County","25023","MA","Massachusetts","41.9511","-70.8115","535075"
"Adams","Adams","Adams County","08001","CO","Colorado","39.8736","-104.3378","530225"
"Sedgwick","Sedgwick","Sedgwick County","20173","KS","Kansas","37.6848","-97.4610","528226"
"Camden","Camden","Camden County","34007","NJ","New Jersey","39.8035","-74.9597","527257"
"Passaic","Passaic","Passaic County","34031","NJ","New Jersey","41.0344","-74.3009","521012"
"Ada","Ada","Ada County","16001","ID","Idaho","43.4512","-116.2412","518935"
"Kane","Kane","Kane County","17089","IL","Illinois","41.9388","-88.4286","517255"
"Clark","Clark","Clark County","53011","WA","Washington","45.7792","-122.4825","516959"
"Morris","Morris","Morris County","34027","NJ","New Jersey","40.8620","-74.5445","514528"
"Polk","Polk","Polk County","19153","IA","Iowa","41.6854","-93.5734","503175"
"Lake","Lake","Lake County","18089","IN","Indiana","41.4167","-87.3821","500379"
"Washoe","Washoe","Washoe County","32031","NV","Nevada","40.6655","-119.6643","497200"
"Richmond","Richmond","Richmond County","36085","NY","New York","40.5808","-74.1531","494956"
"Knox","Knox","Knox County","47093","TN","Tennessee","35.9932","-83.9371","494148"
"Prince William","Prince William","Prince William County","51153","VA","Virginia","38.7029","-77.4809","488880"
"Sonoma","Sonoma","Sonoma County","06097","CA","California","38.5290","-122.8882","485040"
"Seminole","Seminole","Seminole County","12117","FL","Florida","28.7170","-81.2363","481470"
"Tulare","Tulare","Tulare County","06107","CA","California","36.2202","-118.8005","478693"
"Onondaga","Onondaga","Onondaga County","36067","NY","New York","43.0058","-76.1946","471129"
"Pinal","Pinal","Pinal County","04021","AZ","Arizona","32.9044","-111.3448","469006"
"Burlington","Burlington","Burlington County","34005","NJ","New Jersey","39.8777","-74.6681","467805"
"York","York","York County","42133","PA","Pennsylvania","39.9200","-76.7265","462924"
"Hampden","Hampden","Hampden County","25013","MA","Massachusetts","42.1351","-72.6316","462815"
"Sarasota","Sarasota","Sarasota County","12115","FL","Florida","27.1845","-82.3315","459547"
"Virginia Beach","Virginia Beach","Virginia Beach City","51810","VA","Virginia","36.7335","-76.0435","456349"
"Naugatuck Valley","Naugatuck Valley","Naugatuck Valley Planning Region","09140","CT","Connecticut","41.5231","-73.0860","454969"
"East Baton Rouge","East Baton Rouge","East Baton Rouge Parish","22033","LA","Louisiana","30.5383","-91.0956","452938"
"Solano","Solano","Solano County","06095","CA","California","38.2700","-121.9328","451918"
"Dakota","Dakota","Dakota County","27037","MN","Minnesota","44.6719","-93.0654","445771"
"Santa Barbara","Santa Barbara","Santa Barbara County","06083","CA","California","34.6729","-120.0169","443701"
"Monterey","Monterey","Monterey County","06053","CA","California","36.2171","-121.2388","437613"
"Berks","Berks","Berks County","42011","PA","Pennsylvania","40.4163","-75.9260","433015"
"Loudoun","Loudoun","Loudoun County","51107","VA","Virginia","39.0907","-77.6357","432998"
"Jefferson","Jefferson","Jefferson Parish","22051","LA","Louisiana","29.7882","-90.1276","430920"
"Manatee","Manatee","Manatee County","12081","FL","Florida","27.4719","-82.3153","429792"
"Lucas","Lucas","Lucas County","39095","OH","Ohio","41.6197","-83.6589","428018"
"Osceola","Osceola","Osceola County","12097","FL","Florida","28.0626","-81.1495","427415"
"Hillsborough","Hillsborough","Hillsborough County","33011","NH","New Hampshire","42.9153","-71.7161","426378"
"Cameron","Cameron","Cameron County","48061","TX","Texas","26.1333","-97.5187","426120"
"Clackamas","Clackamas","Clackamas County","41005","OR","Oregon","45.1880","-122.2208","423975"
"Richland","Richland","Richland County","45079","SC","South Carolina","34.0218","-80.9031","422117"
"Charleston","Charleston","Charleston County","45019","SC","South Carolina","32.8348","-79.9531","420264"
"Placer","Placer","Placer County","06061","CA","California","39.0634","-120.7177","419156"
"St. Charles","St. Charles","St. Charles County","29183","MO","Missouri","38.7820","-90.6749","414535"
"Lake","Lake","Lake County","12069","FL","Florida","28.7615","-81.7113","412924"
"Mobile","Mobile","Mobile County","01097","AL","Alabama","30.7877","-88.2058","412590"
"Waukesha","Waukesha","Waukesha County","55133","WI","Wisconsin","43.0182","-88.3045","411762"
"Orange","Orange","Orange County","36071","NY","New York","41.4022","-74.3056","406616"
"Madison","Madison","Madison County","01089","AL","Alabama","34.7631","-86.5502","405718"
"Genesee","Genesee","Genesee County","26049","MI","Michigan","43.0217","-83.7067","403305"
"Marion","Marion","Marion County","12083","FL","Florida","29.2102","-82.0567","400078"
"Pulaski","Pulaski","Pulaski County","05119","AR","Arkansas","34.7700","-92.3120","399818"
"Collier","Collier","Collier County","12021","FL","Florida","26.1108","-81.3474","398291"
"Butler","Butler","Butler County","39017","OH","Ohio","39.4386","-84.5756","392876"
"Allen","Allen","Allen County","18003","IN","Indiana","41.0909","-85.0665","392378"
"Brazoria","Brazoria","Brazoria County","48039","TX","Texas","29.1898","-95.4521","391255"
"Forsyth","Forsyth","Forsyth County","37067","NC","North Carolina","36.1306","-80.2564","389977"
"Bell","Bell","Bell County","48027","TX","Texas","31.0373","-97.4788","386897"
"Mercer","Mercer","Mercer County","34021","NJ","New Jersey","40.2834","-74.7018","385864"
"Lane","Lane","Lane County","41039","OR","Oregon","43.9387","-122.8479","384207"
"Horry","Horry","Horry County","45051","SC","South Carolina","33.9216","-78.9969","383016"
"Lehigh","Lehigh","Lehigh County","42077","PA","Pennsylvania","40.6127","-75.5923","378792"
"Chesterfield","Chesterfield","Chesterfield County","51041","VA","Virginia","37.3785","-77.5870","377869"
"Douglas","Douglas","Douglas County","08035","CO","Colorado","39.3298","-104.9293","377150"
"Hamilton","Hamilton","Hamilton County","47065","TN","Tennessee","35.1808","-85.1648","376192"
"Stark","Stark","Stark County","39151","OH","Ohio","40.8139","-81.3656","373713"
"Orleans","Orleans","Orleans Parish","22071","LA","Louisiana","30.0687","-89.9289","371853"
"Davis","Davis","Davis County","49011","UT","Utah","40.9900","-112.1115","370924"
"Anoka","Anoka","Anoka County","27003","MN","Minnesota","45.2733","-93.2465","370349"
"Washtenaw","Washtenaw","Washtenaw County","26161","MI","Michigan","42.2532","-83.8388","369822"
"Larimer","Larimer","Larimer County","08069","CO","Colorado","40.6664","-105.4611","367368"
"Hamilton","Hamilton","Hamilton County","18057","IN","Indiana","40.0725","-86.0520","365056"
"Rutherford","Rutherford","Rutherford County","47149","TN","Tennessee","35.8427","-86.4167","360646"
"St. Lucie","St. Lucie","St. Lucie County","12111","FL","Florida","27.3773","-80.4721","360500"
"Galveston","Galveston","Galveston County","48167","TX","Texas","29.3944","-94.9642","358990"
"Nueces","Nueces","Nueces County","48355","TX","Texas","27.7254","-97.6134","352955"
"Westmoreland","Westmoreland","Westmoreland County","42129","PA","Pennsylvania","40.3109","-79.4668","352500"
"Weld","Weld","Weld County","08123","CO","Colorado","40.5548","-104.3925","350396"
"Somerset","Somerset","Somerset County","34035","NJ","New Jersey","40.5635","-74.6163","349846"
"Marion","Marion","Marion County","41047","OR","Oregon","44.9033","-122.5846","349244"
"Spartanburg","Spartanburg","Spartanburg County","45083","SC","South Carolina","34.9309","-81.9908","347852"
"Rockland","Rockland","Rockland County","36087","NY","New York","41.1525","-74.0242","341883"
"Cumberland","Cumberland","Cumberland County","37051","NC","North Carolina","35.0487","-78.8277","338545"
"Howard","Howard","Howard County","24027","MD","Maryland","39.2507","-76.9312","336328"
"Henrico","Henrico","Henrico County","51087","VA","Virginia","37.5380","-77.4058","335744"
"Durham","Durham","Durham County","37063","NC","North Carolina","36.0360","-78.8766","332353"
"Greater Bridgeport","Greater Bridgeport","Greater Bridgeport Planning Region","09120","CT","Connecticut","41.2428","-73.2314","329259"
"Boulder","Boulder","Boulder County","08013","CO","Colorado","40.0925","-105.3577","328961"
"Luzerne","Luzerne","Luzerne County","42079","PA","Pennsylvania","41.1770","-75.9892","327675"
"Lancaster","Lancaster","Lancaster County","31109","NE","Nebraska","40.7842","-96.6878","326696"
"Escambia","Escambia","Escambia County","12033","FL","Florida","30.6690","-87.3630","325923"
"Fayette","Fayette","Fayette County","21067","KY","Kentucky","38.0423","-84.4587","323725"
"Rockingham","Rockingham","Rockingham County","33015","NH","New Hampshire","42.9876","-71.1254","319082"
"Lubbock","Lubbock","Lubbock County","48303","TX","Texas","33.6102","-101.8205","318884"
"Northampton","Northampton","Northampton County","42095","PA","Pennsylvania","40.7542","-75.3076","318580"
"Lorain","Lorain","Lorain County","39093","OH","Ohio","41.2956","-82.1510","317129"
"Albany","Albany","Albany County","36001","NY","New York","42.6002","-73.9736","317018"
"McHenry","McHenry","McHenry County","17111","IL","Illinois","42.3244","-88.4523","312591"
"Cumberland","Cumberland","Cumberland County","23005","ME","Maine","43.8466","-70.3996","308827"
"Gloucester","Gloucester","Gloucester County","34015","NJ","New Jersey","39.7173","-75.1414","306954"
"St. Johns","St. Johns","St. Johns County","12109","FL","Florida","29.9016","-81.4407","306934"
"Lexington","Lexington","Lexington County","45063","SC","South Carolina","33.9023","-81.2720","304887"
"Benton","Benton","Benton County","05007","AR","Arkansas","36.3387","-94.2561","303632"
"Greene","Greene","Greene County","29077","MO","Missouri","37.2581","-93.3420","303375"
"Ottawa","Ottawa","Ottawa County","26139","MI","Michigan","42.9599","-85.9960","301203"
"Chatham","Chatham","Chatham County","13051","GA","Georgia","32.0043","-81.1329","300879"
"Cleveland","Cleveland","Cleveland County","40027","OK","Oklahoma","35.2031","-97.3265","300047"
"Thurston","Thurston","Thurston County","53067","WA","Washington","46.9256","-122.8333","299067"
"Clayton","Clayton","Clayton County","13063","GA","Georgia","33.5419","-84.3576","298924"
"Dutchess","Dutchess","Dutchess County","36027","NY","New York","41.7652","-73.7429","298220"
"Leon","Leon","Leon County","12073","FL","Florida","30.4580","-84.2779","297542"
"York","York","York County","45091","SC","South Carolina","34.9749","-81.1844","293673"
"Merced","Merced","Merced County","06047","CA","California","37.1919","-120.7177","290201"
"Dauphin","Dauphin","Dauphin County","42043","PA","Pennsylvania","40.4155","-76.7794","289593"
"Anchorage","Anchorage","Anchorage Municipality","02020","AK","Alaska","61.1498","-149.1082","288976"
"St. Louis","St. Louis","St. Louis City","29510","MO","Missouri","38.6358","-90.2451","288512"
"Frederick","Frederick","Frederick County","24021","MD","Maryland","39.4722","-77.3980","287048"
"Alachua","Alachua","Alachua County","12001","FL","Florida","29.6747","-82.3577","285492"
"Ingham","Ingham","Ingham County","26065","MI","Michigan","42.5971","-84.3735","283913"
"Winnebago","Winnebago","Winnebago County","17201","IL","Illinois","42.3363","-89.1609","283292"
"San Luis Obispo","San Luis Obispo","San Luis Obispo County","06079","CA","California","35.3871","-120.4044","281555"
"Cherokee","Cherokee","Cherokee County","13057","GA","Georgia","34.2440","-84.4762","281032"
"Southeastern Connecticut","Southeastern Connecticut","Southeastern Connecticut Planning Region","09180","CT","Connecticut","41.5023","-72.1000","279971"
"Kitsap","Kitsap","Kitsap County","53035","WA","Washington","47.6127","-122.6762","277881"
"Atlantic","Atlantic","Atlantic County","34001","NJ","New Jersey","39.4778","-74.6613","276270"
"Washington","Washington","Washington County","27163","MN","Minnesota","45.0388","-92.8838","276238"
"Buncombe","Buncombe","Buncombe County","37021","NC","North Carolina","35.6112","-82.5301","274360"
"St. Joseph","St. Joseph","St. Joseph County","18141","IN","Indiana","41.6167","-86.2899","273040"
"St. Tammany","St. Tammany","St. Tammany Parish","22103","LA","Louisiana","30.4103","-89.9584","272421"
"Brown","Brown","Brown County","55009","WI","Wisconsin","44.4525","-88.0037","270892"
"Weber","Weber","Weber County","49057","UT","Utah","41.2698","-111.9134","269648"
"Webb","Webb","Webb County","48479","TX","Texas","27.7611","-99.3315","269294"
"Erie","Erie","Erie County","42049","PA","Pennsylvania","41.9925","-80.0327","269052"
"Hays","Hays","Hays County","48209","TX","Texas","30.0579","-98.0312","268638"
"Cumberland","Cumberland","Cumberland County","42041","PA","Pennsylvania","40.1636","-77.2655","268323"
"Forsyth","Forsyth","Forsyth County","13117","GA","Georgia","34.2255","-84.1250","267287"
"McLennan","McLennan","McLennan County","48309","TX","Texas","31.5524","-97.2018","266067"
"Santa Cruz","Santa Cruz","Santa Cruz County","06087","CA","California","37.0562","-122.0018","264926"
"Madison","Madison","Madison County","17119","IL","Illinois","38.8297","-89.9049","264238"
"Harford","Harford","Harford County","24025","MD","Maryland","39.5611","-76.3171","263757"
"Kalamazoo","Kalamazoo","Kalamazoo County","26077","MI","Michigan","42.2455","-85.5312","262375"
"Williamson","Williamson","Williamson County","47187","TN","Tennessee","35.8938","-86.8987","260351"
"Clay","Clay","Clay County","29047","MO","Missouri","39.3105","-94.4209","258122"
"Marin","Marin","Marin County","06041","CA","California","38.0735","-122.7236","257969"
"Yakima","Yakima","Yakima County","53077","WA","Washington","46.4571","-120.7385","257152"
"Washington","Washington","Washington County","05143","AR","Arkansas","35.9791","-94.2156","256765"
"Sussex","Sussex","Sussex County","10005","DE","Delaware","38.6606","-75.3900","255626"
"Jefferson","Jefferson","Jefferson County","48245","TX","Texas","29.8841","-94.1629","253878"
"St. Clair","St. Clair","St. Clair County","17163","IL","Illinois","38.4703","-89.9284","253694"
"Chesapeake","Chesapeake","Chesapeake City","51550","VA","Virginia","36.6778","-76.3023","252583"
"Union","Union","Union County","37179","NC","North Carolina","34.9884","-80.5307","250958"
"Canyon","Canyon","Canyon County","16027","ID","Idaho","43.6251","-116.7093","250790"
"Warren","Warren","Warren County","39165","OH","Ohio","39.4277","-84.1668","250008"
"Henry","Henry","Henry County","13151","GA","Georgia","33.4530","-84.1542","249960"
"Lafayette","Lafayette","Lafayette Parish","22055","LA","Louisiana","30.2068","-92.0639","247997"
"Baldwin","Baldwin","Baldwin County","01003","AL","Alabama","30.7277","-87.7226","246989"
"Berkeley","Berkeley","Berkeley County","45015","SC","South Carolina","33.1971","-79.9522","246802"
"Yavapai","Yavapai","Yavapai County","04025","AZ","Arizona","34.5998","-112.5538","245480"
"Brazos","Brazos","Brazos County","48041","TX","Texas","30.6608","-96.3024","242311"
"Smith","Smith","Smith County","48423","TX","Texas","32.3750","-95.2692","241740"
"Saratoga","Saratoga","Saratoga County","36091","NY","New York","43.1074","-73.8639","238284"
"Tuscaloosa","Tuscaloosa","Tuscaloosa County","01125","AL","Alabama","33.2896","-87.5251","237552"
"Arlington","Arlington","Arlington County","51013","VA","Virginia","38.8786","-77.1011","236254"
"Cabarrus","Cabarrus","Cabarrus County","37025","NC","North Carolina","35.3868","-80.5519","236133"
"New Hanover","New Hanover","New Hanover County","37129","NC","North Carolina","34.2329","-77.8848","235229"
"Gaston","Gaston","Gaston County","37071","NC","North Carolina","35.2944","-81.1803","234881"
"Johnston","Johnston","Johnston County","37101","NC","North Carolina","35.5178","-78.3657","234263"
"Montgomery","Montgomery","Montgomery County","47125","TN","Tennessee","36.4969","-87.3828","234153"
"Norfolk","Norfolk","Norfolk City","51710","VA","Virginia","36.8947","-76.2570","233596"
"Lake","Lake","Lake County","39085","OH","Ohio","41.6963","-81.2372","232216"
"Barnstable","Barnstable","Barnstable County","25001","MA","Massachusetts","41.7244","-70.2903","231668"
"Whatcom","Whatcom","Whatcom County","53073","WA","Washington","48.8259","-121.7199","230503"
"Shelby","Shelby","Shelby County","01117","AL","Alabama","33.2643","-86.6607","230211"
"Caddo","Caddo","Caddo Parish","22017","LA","Louisiana","32.5806","-93.8823","230004"
"Linn","Linn","Linn County","19113","IA","Iowa","42.0790","-91.5990","230004"
"Jefferson","Jefferson","Jefferson County","29099","MO","Missouri","38.2610","-90.5377","229458"
"Richmond","Richmond","Richmond City","51760","VA","Virginia","37.5294","-77.4756","229359"
"Oneida","Oneida","Oneida County","36065","NY","New York","43.2418","-75.4358","229124"
"Clay","Clay","Clay County","12019","FL","Florida","29.9831","-81.8579","227584"
"Delaware","Delaware","Delaware County","39041","OH","Ohio","40.2784","-83.0049","226834"
"Montgomery","Montgomery","Montgomery County","01101","AL","Alabama","32.2203","-86.2076","226718"
