"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Oconto","Oconto","Oconto County","55083","WI","Wisconsin","45.0264","-88.2697","39589"
"Douglas","Douglas","Douglas County","27041","MN","Minnesota","45.9338","-95.4535","39575"
"Williams","Williams","Williams County","38105","ND","North Dakota","48.3437","-103.4802","39555"
"Person","Person","Person County","37145","NC","North Carolina","36.3900","-78.9718","39542"
"Fremont","Fremont","Fremont County","56013","WY","Wyoming","43.0405","-108.6304","39533"
"Gloucester","Gloucester","Gloucester County","51073","VA","Virginia","37.4160","-76.5434","39526"
"Fayette","Fayette","Fayette County","54019","WV","West Virginia","38.0287","-81.0812","39519"
"Graham","Graham","Graham County","04009","AZ","Arizona","32.9326","-109.8875","39232"
"Mississippi","Mississippi","Mississippi County","05093","AR","Arkansas","35.7624","-90.0522","39126"
"Crawford","Crawford","Crawford County","20037","KS","Kansas","37.5073","-94.8518","39008"
"Avoyelles","Avoyelles","Avoyelles Parish","22009","LA","Louisiana","31.0763","-92.0014","38905"
"Jim Wells","Jim Wells","Jim Wells County","48249","TX","Texas","27.7314","-98.0899","38850"
"Champaign","Champaign","Champaign County","39021","OH","Ohio","40.1377","-83.7696","38804"
"Colleton","Colleton","Colleton County","45029","SC","South Carolina","32.8638","-80.6671","38783"
"Lawrence","Lawrence","Lawrence County","29109","MO","Missouri","37.1064","-93.8330","38593"
"Des Moines","Des Moines","Des Moines County","19057","IA","Iowa","40.9232","-91.1815","38487"
"Newberry","Newberry","Newberry County","45071","SC","South Carolina","34.2898","-81.6001","38435"
"Brown","Brown","Brown County","48049","TX","Texas","31.7742","-98.9998","38347"
"Defiance","Defiance","Defiance County","39039","OH","Ohio","41.3239","-84.4905","38343"
"Montgomery","Montgomery","Montgomery County","18107","IN","Indiana","40.0404","-86.8933","38312"
"Woodford","Woodford","Woodford County","17203","IL","Illinois","40.7883","-89.2113","38312"
"Albany","Albany","Albany County","56001","WY","Wyoming","41.6545","-105.7238","38249"
"Pontotoc","Pontotoc","Pontotoc County","40123","OK","Oklahoma","34.7280","-96.6844","38235"
"Calloway","Calloway","Calloway County","21035","KY","Kentucky","36.6210","-88.2723","38224"
"Guernsey","Guernsey","Guernsey County","39059","OH","Ohio","40.0520","-81.4943","38223"
"Susquehanna","Susquehanna","Susquehanna County","42115","PA","Pennsylvania","41.8214","-75.8007","38219"
"Independence","Independence","Independence County","05063","AR","Arkansas","35.7416","-91.5697","38175"
"Oneida","Oneida","Oneida County","55085","WI","Wisconsin","45.7055","-89.5218","38167"
"Wayne","Wayne","Wayne County","54099","WV","West Virginia","38.1459","-82.4270","38164"
"Boone","Boone","Boone County","05009","AR","Arkansas","36.3086","-93.0915","38138"
"Finney","Finney","Finney County","20055","KS","Kansas","38.0443","-100.7370","38084"
"Jasper","Jasper","Jasper County","19099","IA","Iowa","41.6860","-93.0538","37954"
"Macon","Macon","Macon County","37113","NC","North Carolina","35.1505","-83.4222","37941"
"Scott","Scott","Scott County","29201","MO","Missouri","37.0530","-89.5686","37933"
"Warren","Warren","Warren County","42123","PA","Pennsylvania","41.8145","-79.2741","37920"
"Talbot","Talbot","Talbot County","24041","MD","Maryland","38.7714","-76.0971","37917"
"Union","Union","Union County","05139","AR","Arkansas","33.1713","-92.5972","37900"
"Brown","Brown","Brown County","46013","SD","South Dakota","45.5898","-98.3516","37877"
"Dare","Dare","Dare County","37055","NC","North Carolina","35.7824","-75.7988","37875"
"Orange","Orange","Orange County","51137","VA","Virginia","38.2461","-78.0140","37822"
"Clinton","Clinton","Clinton County","42035","PA","Pennsylvania","41.2340","-77.6385","37798"
"Hopkins","Hopkins","Hopkins County","48223","TX","Texas","33.1496","-95.5640","37784"
"Houghton","Houghton","Houghton County","26061","MI","Michigan","46.8976","-88.6875","37693"
"Cass","Cass","Cass County","18017","IN","Indiana","40.7615","-86.3460","37680"
"Addison","Addison","Addison County","50001","VT","Vermont","44.0309","-73.1408","37664"
"Covington","Covington","Covington County","01039","AL","Alabama","31.2485","-86.4513","37628"
"Yadkin","Yadkin","Yadkin County","37197","NC","North Carolina","36.1605","-80.6652","37574"
"Steele","Steele","Steele County","27147","MN","Minnesota","44.0223","-93.2261","37439"
"Dodge","Dodge","Dodge County","31053","NE","Nebraska","41.5779","-96.6540","37351"
"Hill","Hill","Hill County","48217","TX","Texas","31.9907","-97.1324","37328"
"Fannin","Fannin","Fannin County","48147","TX","Texas","33.5938","-96.1069","37326"
"Franklin","Franklin","Franklin County","17055","IL","Illinois","37.9923","-88.9242","37323"
"Sagadahoc","Sagadahoc","Sagadahoc County","23023","ME","Maine","43.9598","-69.8546","37285"
